designation,ok,url,error_type,http_status,message
3I/ATLAS,False,https://ssd-api.jpl.nasa.gov/sbdb.api?sstr=3I/ATLAS&phys-par=1,http_error,400,HTTP Error 400: Bad Request
C/2025 N1,False,https://ssd-api.jpl.nasa.gov/sbdb.api?sstr=C/2025+N1&phys-par=1,http_error,400,HTTP Error 400: Bad Request
ATLAS,False,https://ssd-api.jpl.nasa.gov/sbdb.api?sstr=ATLAS&phys-par=1,http_error,400,HTTP Error 400: Bad Request
C/2025 N1 (ATLAS),False,https://ssd-api.jpl.nasa.gov/sbdb.api?sstr=C/2025+N1+(ATLAS)&phys-par=1,http_error,400,HTTP Error 400: Bad Request
